puntuacion,age,Agricultura ecológica,Arte,Asador,Bertsolarismo,Bodegas,Ciencias naturales,Cine y audiovisuales,Concierto y Festival,Concurso,"Conferencia, Eventos/jornadas, Presentación",Danza,Denominación de Origen,Etnografía,Euskal Baserri,Eusko Label,Exposición,Fiestas y Feria,Formación,Gourmet,Hostelería,Museos: Historia,Patrimonio cultural,Queserías,Restaurante,Sidrería,Teatro,municipality_10,municipality_20,municipality_48,sexo_hombre,sexo_mujer,sexo_otro,Visita Guiada,Capacidad,Tienda,valoracion,num_resenas,Tipo de lugar_Museo,Tipo de lugar_Patrimonio cultural,Provincia_Guipúzcoa,Provincia_Vizcaya,Provincia_Álava,Tipo de Cultura_Arte,Tipo de Cultura_Artesanía,Tipo de Cultura_Ciencias Naturales,Tipo de Cultura_Etnografía,Tipo de Cultura_Gastronomía,Tipo de Cultura_Historia,Tipo de Cultura_Marítimo,Tipo de Cultura_Otros,Tipo de Cultura_Patrimonio Cultural,Tipo de Cultura_Religión
4,59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,True,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3,58,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False,False,True,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,55,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,False,False,True,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,65,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,False,False,True,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,49,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,True,False,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,True,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,False,False,True,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,56,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,False,True,False,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,False,True,False,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,62,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,True,False,False,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3,54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,False,False,True,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,False,True,False,True,False,False,True,1000.0,False,4.7,2500.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,48,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
5,48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False,True,False,False,True,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
5,50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,False,False,True,False,True,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
5,65,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,False,False,True,False,True,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
5,63,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,True,False,False,True,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,True,False,False,True,False,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,True,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
5,60,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,1000.0,False,4.6,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,True,28920.0,True,4.1,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
4,52,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,28920.0,True,4.1,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
