user_id,gastro_id,puntuacion,texto,created_at
1474,0,4,,2024-10-08 00:00:00
1205,0,3,,2024-04-14 00:00:00
312,0,4,Muy buena relación calidad-precio.,2025-08-27 00:00:00
119,0,4,,2024-08-11 00:00:00
1741,0,5,"De los mejores que he probado, una joya.",2024-07-22 00:00:00
1210,0,4,"Producto fresco y bien tratado, muy satisfecho.",2024-08-13 00:00:00
1427,0,4,,2024-01-07 00:00:00
41,0,5,,2025-03-08 00:00:00
1943,0,5,,2026-02-20 00:00:00
1675,0,5,,2024-04-09 00:00:00
427,0,4,,2024-09-27 00:00:00
364,0,5,"De los mejores que he probado, una joya.",2024-05-07 00:00:00
368,0,3,Ni mal ni especialmente bien.,2024-10-27 00:00:00
615,0,4,"Buena experiencia, repetiría.",2025-08-14 00:00:00
1054,0,5,,2025-11-08 00:00:00
1381,1,5,,2024-03-22 00:00:00
887,1,3,"Normal, la calidad era buena pero el servicio flojo.",2024-10-11 00:00:00
242,1,5,"La mejor comida del País Vasco, sin exagerar.",2025-01-14 00:00:00
996,1,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-09-15 00:00:00
72,1,5,"La mejor comida del País Vasco, sin exagerar.",2024-06-16 00:00:00
1826,1,5,,2025-10-17 00:00:00
521,1,5,,2024-11-28 00:00:00
1334,1,4,"Rico y bien elaborado, lo recomiendo.",2026-04-21 00:00:00
631,1,5,,2024-10-01 00:00:00
1044,1,4,"Nos fue muy bien, cocina honesta y sabrosa.",2026-01-05 00:00:00
567,2,5,"Un lujo para el paladar, altamente recomendable.",2025-10-20 00:00:00
1092,2,4,,2024-09-09 00:00:00
280,2,5,"De los mejores que he probado, una joya.",2025-03-14 00:00:00
1612,2,2,"No cumplió expectativas, he comido mejor.",2024-05-21 00:00:00
149,2,5,,2024-02-18 00:00:00
1976,2,3,,2024-06-12 00:00:00
1553,2,4,Muy buena relación calidad-precio.,2025-01-29 00:00:00
399,2,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-09-14 00:00:00
11,2,3,"Correcto, sin más. Esperaba algo más.",2025-11-27 00:00:00
1640,2,5,"De los mejores que he probado, una joya.",2026-02-07 00:00:00
1425,2,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-10-27 00:00:00
1468,2,5,"Producto de primera calidad, servicio impecable.",2025-05-27 00:00:00
1551,2,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-10-02 00:00:00
722,2,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-07-22 00:00:00
231,2,5,"De los mejores que he probado, una joya.",2026-03-08 00:00:00
1735,2,3,Ni mal ni especialmente bien.,2024-11-27 00:00:00
1255,2,4,,2025-01-06 00:00:00
669,2,4,"Buena experiencia, repetiría.",2024-09-02 00:00:00
502,3,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-03-28 00:00:00
829,3,4,"Nos fue muy bien, cocina honesta y sabrosa.",2026-02-23 00:00:00
1520,3,5,"De los mejores que he probado, una joya.",2024-06-18 00:00:00
460,3,4,"Producto fresco y bien tratado, muy satisfecho.",2024-08-04 00:00:00
