id;nombre;provincia;nora_code;province_code;lat;lng
1;Alegría-Dulantzi;Araba;1001;1;42,839812;-2,512437
2;Amurrio;Araba;1002;1;43,054278;-3,000073
3;Aramaio;Araba;1003;1;43,051197;-2,5654
4;Artziniega;Araba;1004;1;43,120844;-3,127917
5;Armiñón;Araba;1006;1;42,723262;-2,871835
6;Arrazua-Ubarrundia;Araba;1008;1;42,891162;-2,638788
7;Asparrena;Araba;1009;1;42,889688;-2,316708
8;Ayala/Aiara;Araba;1010;1;43,077683;-3,043067
9;Baños de Ebro/Mañueta;Araba;1011;1;42,529256;-2,678636
10;Barrundia;Araba;1013;1;42,915375;-2,494075
11;Berantevilla;Araba;1014;1;42,682272;-2,859714
12;Bernedo;Araba;1016;1;42,62677;-2,498254
13;Campezo/Kanpezu;Araba;1017;1;42,669712;-2,352077
14;Zigoitia;Araba;1018;1;42,962106;-2,73033
15;Kripan;Araba;1019;1;42,590824;-2,516216
16;Kuartango;Araba;1020;1;42,870064;-2,884382
17;Elburgo/Burgelu;Araba;1021;1;42,850282;-2,545933
18;Elciego;Araba;1022;1;42,514207;-2,617239
19;Elvillar/Bilar;Araba;1023;1;42,568426;-2,544413
20;Iruraiz-Gauna;Araba;1027;1;42,83131;-2,475996
21;Labastida/Bastida;Araba;1028;1;42,590217;-2,793199
22;Lagrán;Araba;1030;1;42,626215;-2,584234
23;Laguardia;Araba;1031;1;42,552367;-2,584117
24;Lanciego/Lantziego;Araba;1032;1;42,562442;-2,512782
25;Lapuebla de Labarca;Araba;1033;1;42,494415;-2,57209
26;Leza;Araba;1034;1;42,564697;-2,634594
27;Laudio/Llodio;Araba;1036;1;43,142519;-2,962565
28;Arraia-Maeztu;Araba;1037;1;42,738527;-2,444299
29;Moreda de Álava/Moreda Araba;Araba;1039;1;42,524792;-2,408417
30;Navaridas;Araba;1041;1;42,545059;-2,624795
31;Okondo;Araba;1042;1;43,161551;-3,019027
32;Oyón-Oion;Araba;1043;1;42,506067;-2,436788
33;Peñacerrada-Urizaharra;Araba;1044;1;42,644175;-2,714028
34;Erriberagoitia/Ribera Alta;Araba;1046;1;42,800747;-2,910806
35;Ribera Baja/Erriberabeitia;Araba;1047;1;42,713398;-2,91704
36;Añana;Araba;1049;1;42,801232;-2,986016
37;Agurain/Salvatierra;Araba;1051;1;42,850452;-2,389753
