user_id,culture_id,puntuacion,texto,created_at
1467,1,4,,2024-10-08 00:00:00
1200,1,3,,2024-04-14 00:00:00
306,1,4,"Muy buena visita, lo recomiendo.",2025-08-27 00:00:00
115,1,4,,2024-08-11 00:00:00
1738,1,5,Personal amable y exposición excelente.,2024-07-22 00:00:00
1206,1,4,Interesante y bien presentado.,2024-08-13 00:00:00
1419,1,3,,2024-01-07 00:00:00
40,1,5,,2025-03-08 00:00:00
1942,1,4,,2026-02-20 00:00:00
1671,1,5,,2024-04-09 00:00:00
421,1,3,,2024-09-27 00:00:00
357,1,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-05-07 00:00:00
360,1,3,"Normal, ni mal ni especialmente bien.",2024-10-27 00:00:00
609,1,4,"Buena experiencia en general, precio razonable.",2025-08-14 00:00:00
1048,1,4,,2025-11-08 00:00:00
1373,2,5,,2024-03-22 00:00:00
884,2,2,La atención al público mejorable.,2024-10-11 00:00:00
237,2,5,"Increíble experiencia, volveré sin duda.",2025-01-14 00:00:00
992,2,5,"Visita imprescindible, me encantó cada rincón.",2025-09-15 00:00:00
65,2,5,"Increíble experiencia, volveré sin duda.",2024-06-16 00:00:00
1826,2,5,,2025-10-17 00:00:00
514,2,4,,2024-11-28 00:00:00
1327,2,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2026-04-21 00:00:00
623,2,4,,2024-10-01 00:00:00
1040,2,5,Personal amable y exposición excelente.,2026-01-05 00:00:00
558,3,4,Interesante y bien presentado.,2025-10-20 00:00:00
1087,3,4,,2024-09-09 00:00:00
275,3,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-03-14 00:00:00
1606,3,2,"No cumplió mis expectativas, hay mejores opciones.",2024-05-21 00:00:00
146,3,5,,2024-02-18 00:00:00
1976,3,4,,2024-06-12 00:00:00
1548,3,5,"Visita imprescindible, me encantó cada rincón.",2025-01-29 00:00:00
391,3,5,Personal amable y exposición excelente.,2024-09-14 00:00:00
10,3,3,"Correcto, sin más. Esperaba un poco más.",2025-11-27 00:00:00
1634,3,4,"Nos gustó mucho, pasamos una tarde estupenda.",2026-02-07 00:00:00
1415,3,4,"Muy buena visita, lo recomiendo.",2024-10-27 00:00:00
1459,3,5,Muy bien organizado y con una colección fascinante.,2025-05-27 00:00:00
1547,3,4,"Muy buena visita, lo recomiendo.",2025-10-02 00:00:00
145,3,5,Personal amable y exposición excelente.,2024-07-22 00:00:00
717,3,3,"Normal, ni mal ni especialmente bien.",2026-03-08 00:00:00
225,3,3,"Normal, ni mal ni especialmente bien.",2024-11-27 00:00:00
1732,3,4,,2025-01-06 00:00:00
1250,3,3,Visita agradable aunque algo corta.,2024-09-02 00:00:00
1821,4,3,"Correcto, sin más. Esperaba un poco más.",2024-03-28 00:00:00
495,4,5,Personal amable y exposición excelente.,2026-02-23 00:00:00
826,4,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-06-18 00:00:00
1515,4,4,Interesante y bien presentado.,2024-08-04 00:00:00
452,4,3,Está bien pero no es para tanto.,2025-12-31 00:00:00
150,4,4,"Buena experiencia en general, precio razonable.",2025-03-24 00:00:00
580,4,2,"No cumplió mis expectativas, hay mejores opciones.",2024-08-18 00:00:00
317,4,4,,2025-07-21 00:00:00
1865,4,4,,2024-03-13 00:00:00
1621,4,3,,2024-03-10 00:00:00
1270,4,3,"Correcto, sin más. Esperaba un poco más.",2025-06-10 00:00:00
1748,4,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-07-06 00:00:00
1609,4,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-08-13 00:00:00
648,5,5,"Superó todas mis expectativas, altamente recomendable.",2024-07-13 00:00:00
1038,5,5,Muy bien organizado y con una colección fascinante.,2025-03-09 00:00:00
1409,5,5,"Visita imprescindible, me encantó cada rincón.",2025-11-20 00:00:00
727,5,5,"Visita imprescindible, me encantó cada rincón.",2025-02-16 00:00:00
1946,5,4,"Muy buena visita, lo recomiendo.",2024-09-11 00:00:00
1929,5,5,"Increíble experiencia, volveré sin duda.",2025-03-08 00:00:00
500,5,5,"Visita imprescindible, me encantó cada rincón.",2025-03-29 00:00:00
996,5,5,"Visita imprescindible, me encantó cada rincón.",2024-02-21 00:00:00
601,5,4,"Muy buena visita, lo recomiendo.",2024-04-05 00:00:00
568,5,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-02-20 00:00:00
73,5,4,,2025-02-14 00:00:00
1221,5,4,,2024-01-03 00:00:00
1008,5,5,,2026-03-13 00:00:00
103,5,4,,2025-12-14 00:00:00
554,5,3,"Normal, ni mal ni especialmente bien.",2025-11-08 00:00:00
1358,6,4,,2024-10-30 00:00:00
32,6,4,,2026-01-23 00:00:00
1026,6,5,"Visita imprescindible, me encantó cada rincón.",2024-02-21 00:00:00
447,6,5,Personal amable y exposición excelente.,2024-06-10 00:00:00
1294,6,5,"Increíble experiencia, volveré sin duda.",2024-03-11 00:00:00
345,6,5,"Increíble experiencia, volveré sin duda.",2025-02-17 00:00:00
1387,6,5,"Increíble experiencia, volveré sin duda.",2025-08-15 00:00:00
777,6,4,Interesante y bien presentado.,2025-11-04 00:00:00
1880,6,4,"Buena experiencia en general, precio razonable.",2024-07-28 00:00:00
269,6,4,,2024-09-28 00:00:00
682,6,5,Muy bien organizado y con una colección fascinante.,2025-04-13 00:00:00
218,6,5,"Visita imprescindible, me encantó cada rincón.",2024-01-10 00:00:00
1856,6,4,"Muy buena visita, lo recomiendo.",2024-03-16 00:00:00
161,7,5,"Increíble experiencia, volveré sin duda.",2024-12-23 00:00:00
318,7,3,Visita agradable aunque algo corta.,2024-10-18 00:00:00
1803,7,5,Muy bien organizado y con una colección fascinante.,2025-09-18 00:00:00
1215,7,3,"Normal, ni mal ni especialmente bien.",2024-01-09 00:00:00
17,7,5,"Visita imprescindible, me encantó cada rincón.",2024-05-17 00:00:00
195,7,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-06-08 00:00:00
1329,7,4,"Buena experiencia en general, precio razonable.",2024-07-27 00:00:00
9,7,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-05-15 00:00:00
316,7,4,"Muy buena visita, lo recomiendo.",2024-04-04 00:00:00
1098,7,5,"Visita imprescindible, me encantó cada rincón.",2024-01-04 00:00:00
1388,7,4,,2024-09-25 00:00:00
1307,7,5,"Superó todas mis expectativas, altamente recomendable.",2025-07-28 00:00:00
443,7,5,,2025-12-08 00:00:00
1427,7,5,Muy bien organizado y con una colección fascinante.,2025-08-19 00:00:00
471,7,4,"Muy buena visita, lo recomiendo.",2024-11-11 00:00:00
651,7,4,"Muy buena visita, lo recomiendo.",2025-01-01 00:00:00
1449,8,4,,2024-04-15 00:00:00
558,8,5,"Superó todas mis expectativas, altamente recomendable.",2025-09-27 00:00:00
46,8,5,"Increíble experiencia, volveré sin duda.",2024-06-15 00:00:00
1295,8,3,Interesante pero le falta profundidad en algunos temas.,2024-01-26 00:00:00
349,8,4,Interesante y bien presentado.,2026-04-01 00:00:00
1888,8,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-09-30 00:00:00
1913,8,5,"Superó todas mis expectativas, altamente recomendable.",2024-02-09 00:00:00
1836,8,3,,2026-04-16 00:00:00
741,8,3,,2026-04-20 00:00:00
30,8,5,,2024-01-25 00:00:00
1862,8,5,Muy bien organizado y con una colección fascinante.,2024-03-12 00:00:00
859,8,2,,2025-10-18 00:00:00
1485,9,5,Personal amable y exposición excelente.,2024-12-05 00:00:00
1397,9,2,,2024-09-24 00:00:00
1408,9,4,"Buena experiencia en general, precio razonable.",2024-02-09 00:00:00
719,9,4,"Buena experiencia en general, precio razonable.",2025-03-22 00:00:00
586,9,4,Interesante y bien presentado.,2025-08-13 00:00:00
1623,9,5,,2025-03-22 00:00:00
1624,9,3,"Normal, ni mal ni especialmente bien.",2025-12-04 00:00:00
1741,9,5,"Increíble experiencia, volveré sin duda.",2025-01-07 00:00:00
1833,9,3,Visita agradable aunque algo corta.,2025-09-30 00:00:00
1025,9,4,"Buena experiencia en general, precio razonable.",2025-06-03 00:00:00
1005,9,5,"Superó todas mis expectativas, altamente recomendable.",2025-12-14 00:00:00
1599,9,5,,2025-03-06 00:00:00
1303,9,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-09-22 00:00:00
1406,9,4,"Muy buena visita, lo recomiendo.",2024-11-07 00:00:00
1595,9,5,Personal amable y exposición excelente.,2025-09-13 00:00:00
1784,9,4,Interesante y bien presentado.,2025-11-22 00:00:00
676,9,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-11-05 00:00:00
1083,10,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-12-09 00:00:00
1279,10,5,"Increíble experiencia, volveré sin duda.",2025-11-19 00:00:00
1454,10,5,"Increíble experiencia, volveré sin duda.",2024-01-26 00:00:00
1954,10,4,"Nos gustó mucho, pasamos una tarde estupenda.",2026-05-20 00:00:00
1033,10,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-07-18 00:00:00
647,10,4,Interesante y bien presentado.,2024-09-06 00:00:00
1594,10,4,"Muy buena visita, lo recomiendo.",2026-03-08 00:00:00
538,10,5,,2025-12-13 00:00:00
881,10,5,,2024-09-12 00:00:00
152,10,2,,2024-05-16 00:00:00
48,10,5,Personal amable y exposición excelente.,2025-09-01 00:00:00
