Michelin	Repsol	Denominación de Origen	Agricultura Ecológica	Euskal Baserri	Eusko Label
0	0				
0	0				
1	1				
1	1				
0	0				
0	0	Denominación de Origen			
0	0				
1	1				
0	0	Denominación de Origen			
0	1				
0	0				
0	0				
0	1				
0	0	 Postres			
0	0				
0	1				
0	0				
0	0				
1	1				
0	1				
0	0				
0	0	Denominación de Origen			
0	0				
0	0	Denominación de Origen			
0	0				
0	1				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	1	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0				
0	1				
0	1				
0	0				
0	0				
0	0				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0				
0	0				
0	0				
1	1	Denominación de Origen			
0	0				
0	0				
0	0				
0	0				
0	1				
0	1				
0	1				
0	0	Denominación de Origen			
0	0				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	1				
0	0				
0	0	Denominación de Origen			
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	1				
0	0				
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
1	1				
0	0				
0	0				
0	0				
0	0				
0	0				
0	0				
1	1				
0	0				
0	1				
0	0				
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	1				
0	1				
0	0	Denominación de Origen			
0	0				
0	0				
0	0				
0	0				
0	0				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0				
0	0	Denominación de Origen			
0	0				
0	0				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0				
0	0				
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
0	0	Denominación de Origen			
