Nombre,Descripción,Tipo de lugar,Dirección,Municipio,Provincia,Postal Code,Marcas,Email,Teléfono,WEB,URL amigable,Visita Guiada,Capacidad,Tienda,Tipo de Cultura,Coordenadas GPS,LATWGS84,LONWGS84
Museo Bibat,"Ubicado en el Casco Antiguo de Vitoria-Gasteiz, consta de dos edificios unidos: el edificio nuevo…",Museo,"Cuchillería, 54. Junto al Palacio de Bendaña.",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,bibat@araba.eus,945 203 700,https://fourniermuseoabibat.eus/es/inicio,https://turismoa.euskadi.eus/es/museos/museo-bibat/webtur00-content/es/,1.0,0.0,1.0,Otros,"42.8493094,-2.6711764000000358",42.8493094,-2.671176400000036
Museo de Faroles de la Cofradía de la Virgen Blanca,"Este original museo alberga las 267 piezas de vidrio policromado que, desde hace más de 10...",Museo,"Zapatería, 33",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,info@cofradiavirgenblanca.com,945 277 077,http://www.cofradiavirgenblanca.com/,https://turismoa.euskadi.eus/es/museos/museo-de-faroles-de-la-cofradia-de-la-virgen-blanca/webtur00-content/es/,1.0,100.0,0.0,Otros,"42.84809749,-2.67413986",42.84809749,-2.67413986
Museo de Ciencias Naturales de Álava,El Museo de Ciencias Naturales de Álava cuenta con una atractiva oferta museogr&aacut...,Museo,"Fundadora de las Siervas de Jesús, 24",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,mcna@araba.eus,945 181 924,,https://turismoa.euskadi.eus/es/museos/museo-de-ciencias-naturales-de-alava/webtur00-content/es/,1.0,100.0,0.0,Ciencias Naturales,"42.8502903,-2.67462519",42.8502903,-2.67462519
Artium museoa,"El/la visitante podrá encontrar en exposición obras de su colección, que con...",Museo,"Francia, 24",Vitoria-Gasteiz,Araba/Álava,1002.0,Vitoria-Gasteiz,museo@artium.eus,945 209 020,https://www.artium.eus/es/,https://turismoa.euskadi.eus/es/museos/artium-centro-museo-vasco-de-arte-contemporaneo/webtur00-content/es/,1.0,2892.0,1.0,Arte,"42.84942634,-2.66802071",42.84942634,-2.66802071
Museo de Armería,El Museo de Armería ofrece al visitante una exposición que se desarrolla cronol&oac...,Museo,"Paseo de Fray Francisco de Vitoria, 3",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,museoarmeria@araba.eus,945 181 925,,https://turismoa.euskadi.eus/es/museos/museo-de-armeria/webtur00-content/es/,1.0,92.0,0.0,Otros,"42.8413475,-2.678544200000033",42.8413475,-2.678544200000033
Museo de Bellas Artes de Álava,El Museo de Bellas Artes de Álava se encuentra ubicado en el Palacio Augustin-Zulueta en e...,Museo,"Paseo de Fray Francisco, 8",Vitoria-Gasteiz,Araba/Álava,1007.0,Vitoria-Gasteiz,museobellasartes@araba.eus,945 181 918,https://arteederrenmuseoa.eus/es/inicio,https://turismoa.euskadi.eus/es/museos/museo-de-bellas-artes-de-alava/webtur00-content/es/,1.0,639.0,1.0,Arte,"42.839197237937334,-2.68563367052127",42.83919723793733,-2.68563367052127
Villa Lucía. Centro Temático del vino,"Situado en una antigua finca de recreo del fabulista Samaniego en Laguardia, su museo del vino, d...",Museo,Ctra. Logroño s/n,Laguardia,Araba/Álava,1300.0,Rioja Alavesa,reservas@villa-lucia.com,945 600 032,https://villa-lucia.com/,https://turismoa.euskadi.eus/es/museos/villa-lucia-centro-tematico-del-vino/webtur00-content/es/,0.0,0.0,0.0,Gastronomía,"42.54833710996413,-2.5782178043932618",42.54833710996413,-2.5782178043932618
Museo Diocesano de Arte Sacro,El Museo Diocesano de Arte Sacro es un lugar para encontrarse con nuestro pasado y sus formas art...,Museo,"Catedral María Inmaculada. Calle del Monseñor Cadena y Eleta, s/n",Vitoria-Gasteiz,Araba/Álava,1008.0,Vitoria-Gasteiz,info@museosacrovitoria.eus,945 150 631,https://museosacrovitoria.eus/eu/,https://turismoa.euskadi.eus/es/museos/museo-diocesano-de-arte-sacro-vitoria-gasteiz/webtur00-content/es/,1.0,0.0,0.0,Religión,"42.84539329508149,-2.6771235713322312",42.84539329508149,-2.6771235713322312
Museo de la Policía Vasca,Los fondos que componen la exposición permanente recogen una amplia información sob...,Museo,Academia Vasca de Policía y Emergencias<br/>Ctra. N-104 km. 356. CP 01192,Vitoria-Gasteiz,Araba/Álava,1192.0,Vitoria-Gasteiz,museopoliciavasca@seg.euskadi.eus,945 773 465,http://www.museopoliciavasca.eus/es/eus,https://turismoa.euskadi.eus/es/museos/museo-de-la-policia-vasca/webtur00-content/es/,1.0,55.0,1.0,Otros,"42.871409,-2.583495",42.871409,-2.583495
Museo Etnográfico Usatxi de Pipaón,"A través del Museo Etnográfico 'Usatxi' de Pipaón, el visitante se aproxima ...",Museo,"Plaza Mayor, s/n",Lagrán,Araba/Álava,1211.0,Montes y Valles vascos,,945 40 32 67,https://alavaturismo.eus/es/museo-etnografico-de-pipaon/,https://turismoa.euskadi.eus/es/museos/museo-etnografico-usatxi-de-pipaon/webtur00-content/es/,1.0,0.0,0.0,Etnografía,"42.615131,-2.643003",42.615131,-2.643003
Museo Etnográfico de Artziniega,"Creado en 1984 y ampliado en 2004, acoge una amplia y variada exposición de 1.700 m2 distr...",Museo,"C/ Arteako Aldapa, 12",Artziniega,Araba/Álava,1474.0,Montes y Valles vascos,artziniegakomuseoa@gmail.com,945 396 210,https://artziniegamuseoa.eus/,https://turismoa.euskadi.eus/es/museos/museo-etnografico-de-artziniega/webtur00-content/es/,0.0,25.0,0.0,Etnografía,"43.1230932,-3.13249406",43.1230932,-3.13249406
Museo del poblado de La Hoya,El Museo del poblado de La Hoya recoge una visión didáctica del ambiente en el que ...,Museo,"Ctra. Elvillar, s/n",Laguardia,Araba/Álava,1300.0,Rioja Alavesa,,945 621 122,https://www.nekatur.net/es/poblado-de-la-hoya-yacimiento-y-museo,https://turismoa.euskadi.eus/es/museos/museo-del-poblado-de-la-hoya/webtur00-content/es/,1.0,50.0,0.0,Historia,"42.5644309,-2.584556099999986",42.5644309,-2.584556099999986
Museo de Alfarería Vasca,"Este Museo se alza en un enclave rural de gran belleza natural, entre los Parques Naturales de Ur...",Museo,"Barrio Ollerías, 9",Legutio,Araba/Álava,1170.0,Montes y Valles vascos,blanka@euskalzeramika.com,945 455 145,http://www.euskalzeramika.com/es,https://turismoa.euskadi.eus/es/museos/museo-de-alfareria-vasca/webtur00-content/es/,0.0,50.0,0.0,Artesanía,"42.99048732,-2.67579564",42.99048732,-2.67579564
Museo Etnográfico de Oyón-Oion,"El Museo Etnográfico de Oyón-Oion describe la vida, las costumbres, las curiosidade...",Museo,"Los Fueros, 6 planta baja. Entrada por la Plaza de los Fueros.",Oyón-Oion,Araba/Álava,1320.0,Rioja Alavesa,info@ayuntamientodeoyon.com,945 622 190,https://www.euskadi.eus/museo-etnografico-de-oyon/web01-a2muszen/es/,https://turismoa.euskadi.eus/es/museos/museo-etnografico-de-oyon-oion/webtur00-content/es/,0.0,60.0,0.0,Etnografía,"42.5052367,-2.4330995999999914",42.5052367,-2.433099599999992
Museo Marítimo Vasco,"El Museo Marítimo Vasco, anteriormente Museo Naval, se sitúa en la Casa Torre del C...",Museo,"Paseo del Muelle, 24",Donostia / San Sebastián,Gipuzkoa,20003.0,San Sebastián,info@itsasmuseoa.eus,943 430 051,https://itsasmuseoa.eus,https://turismoa.euskadi.eus/es/museos/museo-maritimo-vasco/webtur00-content/es/,1.0,25.0,1.0,Marítimo,"43.32296774,-1.99095009",43.32296774,-1.99095009
Aquarium de San Sebastián,Cuenta con tres espacios expositivos: El Oceanario es atravesado por un túnel de metacrila...,Museo,"Pza. Carlos Blasco de Imaz, 1",Donostia / San Sebastián,Gipuzkoa,20003.0,San Sebastián,info@aquariumss.com,943 440 099,https://aquariumss.com/,https://turismoa.euskadi.eus/es/museos/aquarium-palacio-del-mar/webtur00-content/es/,1.0,943.0,1.0,Marítimo,"43.32287472,-1.99206009",43.32287472,-1.99206009
Museo San Telmo,"El Museo San Telmo, inaugurado en 1902, es el más antiguo de Euskadi.Reabierto e...",Museo,"Plaza Zuloaga, 1",Donostia / San Sebastián,Gipuzkoa,20003.0,San Sebastián,santelmo@donostia.eus,943 481 580,https://www.santelmomuseoa.eus/,https://turismoa.euskadi.eus/es/museos/museo-san-telmo/webtur00-content/es/,1.0,355.0,0.0,Arte,"43.324993,-1.984844",43.324993,-1.984844
