Nombre,Descripción,Tipo de lugar,Dirección,Municipio,Provincia,Postal Code,Marcas,Email,Teléfono,WEB,URL amigable,Visita Guiada,Capacidad,Tienda,Tipo de Cultura,Coordenadas GPS,LATWGS84,LONWGS84,valoracion,num_resenas,url_imagen
Museo Bibat,"Ubicado en el Casco Antiguo de Vitoria-Gasteiz, consta de dos edificios unidos: el edificio nuevo…",Museo,"Cuchillería, 54. Junto al Palacio de Bendaña.",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,bibat@araba.eus,945 203 700,https://fourniermuseoabibat.eus/es/inicio,https://turismoa.euskadi.eus/es/museos/museo-bibat/webtur00-content/es/,1.0,0.0,1.0,Otros,"42.8493094,-2.6711764000000358",42.8493094,-2.671176400000036,4.4,242.0,https://places.googleapis.com/v1/places/ChIJd6FTzQ7DTw0ROqoJsGg_N00/photos/Ab43m-uJm4-Cbpks_9-uHyLuDX5fjMGqvpjef8vANtZFuOKIRyiU-o6Oe_X9DYKwxRXeGSWFYYFQNHcHXByXOiAlT3tCHLKRUoDyB5DVdNvde2xmY7pOJQmz4gx1yzxXdPNtKnDKB1cScZWpqiRjqnZzMnIBF441It4-TH95gpWKR6abCstZxostysuHtneQqZA5fxt7jgbz2n49f4OsPXxlkwTZsBl7C9OP9KZIZX4mFDd-OAr8uko1QJnNjW5tO7W5K-ISoJMeP3imbhJT-O6VjDCrQcqiEtTqTVo5SPK2P7Cjyw/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo de Faroles de la Cofradía de la Virgen Blanca,"Este original museo alberga las 267 piezas de vidrio policromado que, desde hace más de 10...",Museo,"Zapatería, 33",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,info@cofradiavirgenblanca.com,945 277 077,http://www.cofradiavirgenblanca.com/,https://turismoa.euskadi.eus/es/museos/museo-de-faroles-de-la-cofradia-de-la-virgen-blanca/webtur00-content/es/,1.0,100.0,0.0,Otros,"42.84809749,-2.67413986",42.84809749,-2.67413986,4.7,250.0,https://places.googleapis.com/v1/places/ChIJN4tn5WvCTw0RIClszhQjTaw/photos/Ab43m-tDzf9meu1iP4JjPrkCv52T7tsxAMQYcr00xa8fy8xvX8uNQ_N64eNTqQeKlTPZRij7p-VhnhijyZM9eLFk7NuIplK_Nhaf_Q5WPXMPLBagHYZ7omlZFiWd4iEtutJV0K-ucP5etgARLqn5Rsu4iwBPUiQv-cXbcVU2iA3mzyqHrMmhkvnIh3i5HsvrxA7Iv7cVw4E4W8ZySd93q16mH1juuQkhvsy2j5X5q7ZMBA51D82vv7EOXMLlLJKGBLmMaSZnA0lkBC6CGpr3D3bG0kDk119XmKBpM_USgH1tWpfsKKcNbcs7hexPePzkC2dlakcqpf71Zk7qpUKIyWi-Qfwe8EO-T3CDkmdJnACb2DcDLvYB80YtgmbP0x284WoTPn8nTQZ5UW_U_3r4hEB3vjukM-0Hc3dmj4lFgZxeIVg8TA/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo de Ciencias Naturales de Álava,El Museo de Ciencias Naturales de Álava cuenta con una atractiva oferta museogr&aacut...,Museo,"Fundadora de las Siervas de Jesús, 24",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,mcna@araba.eus,945 181 924,,https://turismoa.euskadi.eus/es/museos/museo-de-ciencias-naturales-de-alava/webtur00-content/es/,1.0,100.0,0.0,Ciencias Naturales,"42.8502903,-2.67462519",42.8502903,-2.67462519,4.6,770.0,https://places.googleapis.com/v1/places/ChIJHQzfOWrCTw0RLbvZcjwVjWY/photos/Ab43m-tYgJI0teF5I8vqLnCSBcxbHjHn7hDJ6d1nE-C-E0jeTDh76TKWSOYGaeijJDlZRNmkUmG0ERqsX-5WsowrPLaiTyn0C0AxMXP_WoSRjRUweVoq_MIkqXSg5GA4gJFkclajPDLSBIm-XkO3gcaBY3m4824_4CQtT5bhTaNHA32eHGl-vw0_FW5nfxClwEUMvogPCX2p0JSXlmDNRRdulbpwux6Fe5MjCQAgznAZY8-J_FTgc3xeZF9V__bSX8j43LEF7yKD9dXrLD8mOL0ej-CABvJlDY6ElLEs4Dr42DJxNg/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Artium museoa,"El/la visitante podrá encontrar en exposición obras de su colección, que con...",Museo,"Francia, 24",Vitoria-Gasteiz,Araba/Álava,1002.0,Vitoria-Gasteiz,museo@artium.eus,945 209 020,https://www.artium.eus/es/,https://turismoa.euskadi.eus/es/museos/artium-centro-museo-vasco-de-arte-contemporaneo/webtur00-content/es/,1.0,2892.0,1.0,Arte,"42.84942634,-2.66802071",42.84942634,-2.66802071,4.1,2644.0,https://places.googleapis.com/v1/places/ChIJfzHsL2bCTw0RNbGKVF-fJ44/photos/Ab43m-tGfS3alEQKWqRB8BBViKDLsDn0Zhq6MxjUjBHpAHqkHRqHRo4Z5TnhCNgQhuKmsgNsRAPE0rdHqGSdIBulu_bC_Y_d2qQMxM6JPuBaCwajXI1--aJ6Yrimw67jOPSRPkxD_HwUw-NSQr4SLTqtfkhDeexME9PS2_sEAqJcLZyYUgsPvIXx9nRhGZYSJdnZjcmcRVE8Wu8y0llgczQrhWyOf-oTQyY8KDfq0IRdRx6ZumiUQQwXESGuPyG614ETcrFneMEuVIG_vJUEe6W_ZSrjoU5RibV4ctXDMevKdBc9fg/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo de Armería,El Museo de Armería ofrece al visitante una exposición que se desarrolla cronol&oac...,Museo,"Paseo de Fray Francisco de Vitoria, 3",Vitoria-Gasteiz,Araba/Álava,1001.0,Vitoria-Gasteiz,museoarmeria@araba.eus,945 181 925,,https://turismoa.euskadi.eus/es/museos/museo-de-armeria/webtur00-content/es/,1.0,92.0,0.0,Otros,"42.8413475,-2.678544200000033",42.8413475,-2.678544200000033,4.7,729.0,https://places.googleapis.com/v1/places/ChIJ2WbZSg3CTw0R2Wz9AlgvVtY/photos/Ab43m-sg_8F57oZFFUVozeZ_8ucis9M5EU9XG1fiGcWZov3Imo3U7f0BX6TGV551TMJsTfNREvAhHHOkcz6Ib3ssNyz7TOp0X1nRKB6Rft2-KrPY0mVMjRaLjA6DiDXW4q9d1fPAYXNHBi9M5CV0lYsTEbuMefVf0PLftD6rJH-iMmpPnNy5EJH3NQcmYtoHaLRbVh81EWzWC4YL33N61CQqRlIPRDvBVRVDOkx3bGt-r9S2d0pB0yrp4PRVMQpLqSBwjGRP60woBiuVMR9KqMp6QV730HOFJPJWFMDKu7WqmIOQRg/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo de Bellas Artes de Álava,El Museo de Bellas Artes de Álava se encuentra ubicado en el Palacio Augustin-Zulueta en e...,Museo,"Paseo de Fray Francisco, 8",Vitoria-Gasteiz,Araba/Álava,1007.0,Vitoria-Gasteiz,museobellasartes@araba.eus,945 181 918,https://arteederrenmuseoa.eus/es/inicio,https://turismoa.euskadi.eus/es/museos/museo-de-bellas-artes-de-alava/webtur00-content/es/,1.0,639.0,1.0,Arte,"42.839197237937334,-2.68563367052127",42.83919723793733,-2.68563367052127,4.6,1250.0,https://places.googleapis.com/v1/places/ChIJ65h6-w7CTw0R6KSJrS3pIXw/photos/Ab43m-ut8iNpxDeTW3pzY5OPxnlGflqgiGGGgCFwmtuFqhCymD-ceECYFJDyEty5-rgpBCDOkx6WJ6z9dstkOboGvMeobI8Fyen66QOuoxMiRsRzFBL0wJPqyoDmMVEqW1tQBE9m4QcDgOCkd9jZlVqEUiPmw5npmlKsIIDWmk7NENWEoJ1XbArutQBfVO8wl39cn-8PxqVQ_U87IVe6eVPyEccBy9SD4OGg8nqSZwCB8J7cZqr3rvHaZsbizCIrXSax4olGCRuLDa2yG81vJo_0n6qwomvbZhKwJPvb-5usbzKWcJLSAdrbdLgbScvCDp6P9f2WmUD7Vdb8AcpEqEFr_O4GU4UGUAPU54CXGcUZ5C3wVxkuS8ePk9NoFe_x1Sf3EP8ov0sjQQKS3BRFCLFvf1JR7yhgjoDTBlWUuYkBnwkhnQU/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Villa Lucía. Centro Temático del vino,"Situado en una antigua finca de recreo del fabulista Samaniego en Laguardia, su museo del vino, d...",Museo,Ctra. Logroño s/n,Laguardia,Araba/Álava,1300.0,Rioja Alavesa,reservas@villa-lucia.com,945 600 032,https://villa-lucia.com/,https://turismoa.euskadi.eus/es/museos/villa-lucia-centro-tematico-del-vino/webtur00-content/es/,0.0,0.0,0.0,Gastronomía,"42.54833710996413,-2.5782178043932618",42.54833710996413,-2.5782178043932618,4.6,1737.0,https://places.googleapis.com/v1/places/ChIJIdXHOfb4Tw0Ru3Hakz5skQk/photos/Ab43m-uwX4V3aeDtRMuqjzTSK85mSmWQXhFBdtKL2Ml0-FRsDzvKyAjtkul_YzDfUWgLcj-z9-i38fzW0M2xKKO9DRWIqhQz9YXiazNl-hPxYGnFtjzYs2IbKsefQY8CsSKD7LZRwg_doHaZi4-dm33iCweC7Q21BtXR49VrMbzpIW-4_Mr4X_BhwO99ibgbDaPbcnle9v_-xlQAPKrWwSC8p5f9Jo01Qr247dMq7_P7jnWKLBwJoXVXJ2cCNz0bY-Y3Ew14XHRL5jBejb4EWrvIKV34IALTzEHTyQABdAC7T9uJUQ/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo Diocesano de Arte Sacro,El Museo Diocesano de Arte Sacro es un lugar para encontrarse con nuestro pasado y sus formas art...,Museo,"Catedral María Inmaculada. Calle del Monseñor Cadena y Eleta, s/n",Vitoria-Gasteiz,Araba/Álava,1008.0,Vitoria-Gasteiz,info@museosacrovitoria.eus,945 150 631,https://museosacrovitoria.eus/eu/,https://turismoa.euskadi.eus/es/museos/museo-diocesano-de-arte-sacro-vitoria-gasteiz/webtur00-content/es/,1.0,0.0,0.0,Religión,"42.84539329508149,-2.6771235713322312",42.84539329508149,-2.6771235713322312,4.6,144.0,https://places.googleapis.com/v1/places/ChIJAef_HW3CTw0RLFrLVkuAy1U/photos/Ab43m-ujJ95hSyFaylYZxP8PDs8bqQONIn74rYBQXrBoKJDG-SGeJBgggSXGlrzyC2kU0b72eBP-wVn5PINYPlCo9BVs81AuUZdaYSF8xruM_BWxsz9ZfWy4h2xGp0rPCYq7kKvkwkAbB8PjZrgrHVKlvTtNz0MnOHlG3L340Kpz8rrTLBvEbtA2P5ifMZ9xmTKJFItW2VGM4vso4_7JAMr8tR75jxDvRYUaud-gu41Q9mnUury9HydJOqBrnCFsGItpwh55ahq6rmp97Quqj3ng2aR_Hpmgg9OMHV3g0J75kzj8RA/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo de la Policía Vasca,Los fondos que componen la exposición permanente recogen una amplia información sob...,Museo,Academia Vasca de Policía y Emergencias<br/>Ctra. N-104 km. 356. CP 01192,Vitoria-Gasteiz,Araba/Álava,1192.0,Vitoria-Gasteiz,museopoliciavasca@seg.euskadi.eus,945 773 465,http://www.museopoliciavasca.eus/es/eus,https://turismoa.euskadi.eus/es/museos/museo-de-la-policia-vasca/webtur00-content/es/,1.0,55.0,1.0,Otros,"42.871409,-2.583495",42.871409,-2.583495,4.3,49.0,https://places.googleapis.com/v1/places/ChIJMe6DjjTdTw0RwafQDY91TC4/photos/Ab43m-sXviBNROc2TL-TqK1dU69NLVmgGYrk7OD25galoSpVifBrUV_LU1D5WbB77G00JR5STcRHZD2lWcwJbY38qEez9yf3QEWCLrHxcl78Jr2RltiPS28zn2XSgzKQWvZ3Ad9s-JvbjMcldQNN2NE8-vZSxEdyVbGiGWZwo5tB2K-_w35pu71FYpXFyQQWn9rU6P09b7B-KXDfM1yFTh1bNxkXY0HH7zveI7_G4Ob5DME6EeW5gaFxsDQV7a4FRLAht76fwnjb37pr0pyTSYdx66IR2cRXLD70E9L9aW4qOMRY-NnvXCry2qGHxUyUOACMq0ih-ngBisGHseHlZIJ2ccm1aGjydSorCMi5toCsaa1JZJVq0dJeK_mBB8YsfluHVUkiduGyT_Bmt0zMBJeYrli_mmJcZKBPsZCVbvf3s59_4Dsv0AVMnqv8E46sNQ/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo Etnográfico Usatxi de Pipaón,"A través del Museo Etnográfico 'Usatxi' de Pipaón, el visitante se aproxima ...",Museo,"Plaza Mayor, s/n",Lagrán,Araba/Álava,1211.0,Montes y Valles vascos,,945 40 32 67,https://alavaturismo.eus/es/museo-etnografico-de-pipaon/,https://turismoa.euskadi.eus/es/museos/museo-etnografico-usatxi-de-pipaon/webtur00-content/es/,1.0,0.0,0.0,Etnografía,"42.615131,-2.643003",42.615131,-2.643003,4.9,27.0,https://places.googleapis.com/v1/places/ChIJh15cFirxTw0RiyFSFh_4VoU/photos/Ab43m-vt4VNXAWp0fXRu6cIH1Qxodl953av6GNWLC5cY2FA5i6PStvQ6jXtZt4dLZlTsWO9BV4Nmtpg4rLs6aNjDICcDo9Yg3t9Sx_YmYl-KHRg7djjhq8YoSGp8p-MVH-cg_iqTUVESdG8OOMUbtHNTfG4NQ348oU3LzFlIL0Jrt40TYBMW2ut7QMND1OPeRKl3NhqMzmUQnEIinGWlbMBiu-PbMjhE2vucg_y5XVwhtsNSIoxzKyvVEfbEfVIVCEpOw1Q-pm7RsuFBIKD4RSCW96yO2cORgZsoP0H5nfhGv3_ciNdNFaFQ2Xev8etSwnJj0sJvt8YTSH0tFwOf30JWRRQeQxUltTJUwifsorRBBA3FJR49scn6cU1A2T89xs9eDHc9Ir5nA45i_eOOmtvlTcd5IYHCZwFgBslJAXzyqfqrnu4a/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo Etnográfico de Artziniega,"Creado en 1984 y ampliado en 2004, acoge una amplia y variada exposición de 1.700 m2 distr...",Museo,"C/ Arteako Aldapa, 12",Artziniega,Araba/Álava,1474.0,Montes y Valles vascos,artziniegakomuseoa@gmail.com,945 396 210,https://artziniegamuseoa.eus/,https://turismoa.euskadi.eus/es/museos/museo-etnografico-de-artziniega/webtur00-content/es/,0.0,25.0,0.0,Etnografía,"43.1230932,-3.13249406",43.1230932,-3.13249406,4.7,368.0,https://places.googleapis.com/v1/places/ChIJ3VLCIi4ATw0Rh3DHv4aWEEU/photos/Ab43m-u9BxJhSOUumNY3RxssitHQSLXoQKKLTU2OSYrOxNpdGUsqp4mSYL1nCMAIUICNwONqHfM5bAylzgZWw_9L3dcJehKQfFAVesAjus0I3O62RCeLnzmD_hCD-gRfrB_EukZl8FvnTUmR2uGNGDr9dNisDbseh_GrdAs7Xc_FVC-QaILrTmCnggqIr2v0gTy29jB6nRZ2y_DzYOHYoSrvFYnCfRqNPYXVVWCcqkr5hz1F51u93ujSGfHl-xutN0biCAudSEZOkdVAYT09pCeaS9h_7nenOjzgOHyKIO6zVd_joA/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo del poblado de La Hoya,El Museo del poblado de La Hoya recoge una visión didáctica del ambiente en el que ...,Museo,"Ctra. Elvillar, s/n",Laguardia,Araba/Álava,1300.0,Rioja Alavesa,,945 621 122,https://www.nekatur.net/es/poblado-de-la-hoya-yacimiento-y-museo,https://turismoa.euskadi.eus/es/museos/museo-del-poblado-de-la-hoya/webtur00-content/es/,1.0,50.0,0.0,Historia,"42.5644309,-2.584556099999986",42.5644309,-2.584556099999986,4.4,348.0,https://places.googleapis.com/v1/places/ChIJJU1yNKz5Tw0R9VMwARqip8Q/photos/Ab43m-sIRhm_QvmN0wSNQro8GHWIiUbjJTaCkYtHppEEvvH-uzRavKDj1vQgybChtRmqy_GnuPB8JCe3dAnnGkh3gGx2D8q4mHfwq_1nGRLt3oFdgrCbzvCQwITKIbG_2q9T0NXC_WaF1A8Q4uHWtPwuyFJvvA7aAagRg1Y5oV7XoZZncORCAJddnezLrGoxGXHe9xKFpunPF9HS-dIxA_fS01soj1vNzwqCo5YBf7GFoi4fR_wYSi67vOEkwK-4bhL7VJJESpsjm-IvfhtowJLZBl-Yw_7m5fJP3sxlo5PCH_wdB68xt-9cW_76ips5ZtzpKXQI6sc2LFM2nbCjUJ8ieHgOlmTZYzyMrTMdWt2m9jcgccHZB1bgcLzpfrUWWy1LKCE18NBIsJDBIfF7UIXZvIpgljjEsmLgtwEmKdIXEdHslw/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo de Alfarería Vasca,"Este Museo se alza en un enclave rural de gran belleza natural, entre los Parques Naturales de Ur...",Museo,"Barrio Ollerías, 9",Legutio,Araba/Álava,1170.0,Montes y Valles vascos,blanka@euskalzeramika.com,945 455 145,http://www.euskalzeramika.com/es,https://turismoa.euskadi.eus/es/museos/museo-de-alfareria-vasca/webtur00-content/es/,0.0,50.0,0.0,Artesanía,"42.99048732,-2.67579564",42.99048732,-2.67579564,4.7,202.0,https://places.googleapis.com/v1/places/ChIJNWTGrmHPTw0RmSMcHRDiTbs/photos/Ab43m-vyGVgsAJGEq5Cbe4P86_NHyvhpxrzvxxRfFEGl1fyqU9oiZgiAGz-9EpIUjL8oK7EypLmt8EHWlnJbDwxc_TUOAqW_dMVKCobS25LfVjXAY5gcBL2K-1F9inm5-OsJTJXXbMno_kvIjLlRrooa_hCwOzM8k_9sQYXOFAeqPTK7lyYvNYlJnEyAeeiD8VpBGBE-yhvEHZjyFBvvc1Q1VQEGSPKMrVtlYx8K55Q42P9FuJryDQU0SghjnHoLjZtn259nuXRSEfVPyR1xIcdDQtdt1BYzXbwrg23q4TN_C4CU0pQOq3jzh6xHkxQ4DfqPpwKYLai3PaSqkECwE0MJAZWfkWsj1lhj6zFsX5je3PfEWZ2hTVhnohjbRGapKBKdp5qQSonu1b3MA0WoOPvNrvnob1EuNSbY2yz7hxR2YJaDcw/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo Etnográfico de Oyón-Oion,"El Museo Etnográfico de Oyón-Oion describe la vida, las costumbres, las curiosidade...",Museo,"Los Fueros, 6 planta baja. Entrada por la Plaza de los Fueros.",Oyón-Oion,Araba/Álava,1320.0,Rioja Alavesa,info@ayuntamientodeoyon.com,945 622 190,https://www.euskadi.eus/museo-etnografico-de-oyon/web01-a2muszen/es/,https://turismoa.euskadi.eus/es/museos/museo-etnografico-de-oyon-oion/webtur00-content/es/,0.0,60.0,0.0,Etnografía,"42.5052367,-2.4330995999999914",42.5052367,-2.433099599999992,4.3,36.0,https://places.googleapis.com/v1/places/ChIJA7tmrJSqWg0R0XFm7iN4jpY/photos/Ab43m-sEY1lkpq9og2l8GoEQoDugz9K2eOEgaRaVqx7evgP5z0gStI7GZl11lxJnjFeic8f037R2Er5Z2PAVWG3VUYABCbihKt6hsu_cfcexBXVAb-WZAIIvjbV6xhndrfZtFadcd723UGRKtA5RNJkCqhwYruGafh9lT-Ey9oAxxX98wFcb3RHO2Tlwi4jQ2p4Evs_JKRUWve3QDD_QHzul60V1H_Uzvl_exfVGJ2JkT0gqqYzKbLfCripcMuQYAtsZCOSeVtLaCT0ou_Cd4_U9DoqykCgDHHD1Q64-20i7cXVUoKuHuaB6GGblhYFab9AV5bYNeeX1L_4f2jfzKpb07ViV8wHF3VOj6hqC8pq1MFuN-zOeOvmeWw8012-J6LHSYtxZG3-npxQy4vqt7AAKFJwzD4A4uJ78SQ0E9OaMAkE/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Museo Marítimo Vasco,"El Museo Marítimo Vasco, anteriormente Museo Naval, se sitúa en la Casa Torre del C...",Museo,"Paseo del Muelle, 24",Donostia / San Sebastián,Gipuzkoa,20003.0,San Sebastián,info@itsasmuseoa.eus,943 430 051,https://itsasmuseoa.eus,https://turismoa.euskadi.eus/es/museos/museo-maritimo-vasco/webtur00-content/es/,1.0,25.0,1.0,Marítimo,"43.32296774,-1.99095009",43.32296774,-1.99095009,4.2,422.0,https://places.googleapis.com/v1/places/ChIJyXi_krK6UQ0REhuWPPTAw0Y/photos/Ab43m-tc1r5GWWjr9JS5noSVA1kYPJ-eC7wUB8hbtohgvLibTa_6_z_lTeMx8IXXb-80BBWq5nZ7QsMUVP_qcKKC02cZF_miLZEyjW_or-kF5zpYTcMECQ2PVsY3V8BjFwbO_uMqy1kDHdlX0Y16k4Txi4XGU0KdwHUuyp2zd5xOJEZouKYg2EYueVW5aD_m62EfWAxLHrjszEbZV_Zh_QkYREOUWICanvUYOut1Itb5ljwPfjPz_cwut0A8zJHWRwBjyg5s1Z3XX8IqHKnU17a-HH8ZWvdBQWWH0AI6AXI_0qLASQ/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
Aquarium de San Sebastián,Cuenta con tres espacios expositivos: El Oceanario es atravesado por un túnel de metacrila...,Museo,"Pza. Carlos Blasco de Imaz, 1",Donostia / San Sebastián,Gipuzkoa,20003.0,San Sebastián,info@aquariumss.com,943 440 099,https://aquariumss.com/,https://turismoa.euskadi.eus/es/museos/aquarium-palacio-del-mar/webtur00-content/es/,1.0,943.0,1.0,Marítimo,"43.32287472,-1.99206009",43.32287472,-1.99206009,4.4,15489.0,https://places.googleapis.com/v1/places/ChIJ_--yFbK6UQ0RbrB978k0380/photos/Ab43m-sZsE79mRwWLQgmgb3stHJjfhA5EEmfaPV22d1tqGFF47zkLjc1NGENZ7SdC2dZ_Eln0VNsuMdZ5OtTb9hMRZ7kdTqSvp53q-oBVTx0xa8aAudAw3GyMSfQyN-VJjLUkqCL9eA8DXqQCcbENpnvLSMTqXduJfLpDWWFgC3nhtrmHedXj1yUKKWs6MQA9s4jsH4ibFLw9AhDVOduhiVEF75I0eUaTsNAPZ4HxXnlL1VDAywtoj2mCS5OUCMx_9RnIh6_DGzAGym0vobRaVzEK0CJPn9yIOIR4HvKGnk3dy0ZfQ/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis
