nombre,descripcion,municipio,provincia,latitud,longitud,type,tipo-comida,entorno,email,web,web_euskadi,categoria,calidad,valoracion,num_resenas,nivel_precio,url_imagen,nationalPhoneNumber
Agorregi,"El restaurante Agorregi, ubicado en el barrio de Igara de San Sebastián, ofrece un servici...",Donostia / San Sebastián,Gipuzkoa,43.30240464,-2.011846,Restauración,Restaurante,"Costa Vasca,San Sebastián",agorregi@agorregi.com,https://agorregi.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-agorregi/webtur00-content/es/,restaurantes,False,4.6,571.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJFTHOiG2wUQ0R2glEy5Tn7Io/photos/Ab43m-sJNG1otNc-fiGeTJs2Y3tXhpfIDMkUHAhdWMWXMyM7KRG-sIWeZC_xl-PNy20kX3F5s9A4YgfQtB_dOHxuSKd8S3pvct2KTggROh3wB61ML6FYxnJaSsyAf-ZeXzA-ChXK3VVcbxzxUpvPwv6BUO_TChTYsqT6CpGAXqU95TM7xTIa_gSOaYss7QECT4KfYzb8xvs5KMTKwJaHBVOpVr3KodKQKSvivoGZ01mrjwrYS5NNTfBnW_a-9ZYm7rxpktbdI6sIcWSRaPMcs47gi2Plr934z9HGC9-Z_zwqNSd0yvn6ILjonOpsTWgEbihFe4276OZd3aBv_l7jO-cLR-5cVfLOP8lPXkmE31ITh5UyynhTbTV0-Q6BVg631eCuOlsHsHRjHoXfVXVVXtmoYCZo4dnrnUtRrGecTP8BguFOQUoP/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,943 22 43 28
Aizian,Este moderno y acogedor restaurante fue diseñado por el arquitecto Ricardo Legorreta y est...,Bilbao,Bizkaia,43.26751936,-2.94180662,Restauración,Restaurante,Bilbao,aizian@restaurante-aizian.com,https://www.restaurante-aizian.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-aizian/webtur00-content/es/,restaurantes,False,4.7,435.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJdeCXzSZQTg0RRUQvXRwoCyY/photos/Ab43m-vP20JNP-NdVdaOPRZOb2lAiRGkVLXtfpyzQn2hlf5CyzXmxQgpaOyZV-oUu76pvtgfh-WDG3-T5wUJOoXpJvX55z3osrNI14s1v1VQQbEPzhSGYObungIQNbY_p8BXeC5Ybct-SESMUumT0hi5sGz2wwhQlDk8ZVPjbdLuStIDlLwGj53u2mmFFcPWa4I7lGGbuUjow_deE_hhVvrAbocp-NLb1UUWRWbYxVrkJIZKBJhKLUDUonKpgVBau0c21QteYQWkoqctGiVUGVLjP8rVYQj2Izd5Ddh_5t1uImZwbYRVAkguKIx4hWT0ogAzmHmEQUtNgML5Ps1HFYltdwLEumuk6hwDMKkigFsCY3LapVUV-RhKQD6hWZa9GjiSkiOytrtOeN1X0LP9TI-TBUjyNyU_037ZbO1PNOZev3ynssS-/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,944 28 00 39
Akelarre,Pedro Subijana desarrolla desde 1970 una cocina personal que ha convertido el Akelarre en un cl&a...,Donostia / San Sebastián,Gipuzkoa,43.3077501796958,-2.0431346731414806,Restauración,Restaurante,San Sebastián,restaurante@akelarre.net,https://www.akelarre.net,https://turismoa.euskadi.eus/es/restaurantes/restaurante-akelarre/webtur00-content/es/,restaurantes,True,4.5,1924.0,PRICE_LEVEL_VERY_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJXdMPlZ6wUQ0RgkKFNtNEFXE/photos/Ab43m-v-mmw5gg3khsdRtkyyVMdCiPKL5-iu48vP5LdLF404U8TFhAEQyqJP3TCi4MKL3CrJ0AJ1vBpmat2MxRSzfuKwy5y7U6U0Wzo3b7KMuO_5OflQJ0G6iucSBl-pw6oNE3vhh-UiFyEeyTPYKHop0BBUrCzJzGMw9JfaTVo5EqKlRDF4gJ5QYY26uYam4FNX_wOPVkPdrFppl2Nb7Zy1QZE0jSSE92buh2q2hpMT0KR6qAUQqCqW_3EKLNfeMLaEHLSg5HWRtoPJFJfguXvyGGCpfFRqGXGGh8eQReTo2X1BYQQnyEWZmSJ3I15kDINUnFkbsQcd123a7f_PQLHDu40_nnbt5825mKV3gXgDl6C_kkMmVN2VkbpEwsRuTOTbpNUKcaWODM5W6NZZCog6KRIOw2gRDlS4fCd5oF1QkA8A_5A/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,943 31 12 09
Alameda,La tercera generación es quien está a cargo de este negocio familiar ubicado en el ...,Hondarribia,Gipuzkoa,43.36124178,-1.79269146,Restauración,Restaurante,Costa Vasca,info@restaurantealameda.net,https://restaurantealameda.net/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-alameda/webtur00-content/es/,restaurantes,True,4.6,1098.0,PRICE_LEVEL_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJfbZAHQYJUQ0RAH0yeLbrfHA/photos/Ab43m-ulBEkRBOM3ShGK3bbxZCswhTxFpyMei_6OK1E4XMAkxy5ZmjWkvcUSRd0US0U6XGAtHWB95DAtNzR6iAYBROdaNaA5oh_8ZKzbG-iNK7IRWMqYh0ZV55A1sXd5BdFBn815dsXz8WUEUGF9UEUWm9tokq0UKszEdPrdAXaXhMBlS2COZ3Z6XTbsF9qXstxleagsM1ca6lhnTPfsbwLLONPjOJagvymfH8m2OOdu3DeCHk5WBUrb4lQJQPLJbaHRi05zopfZMjHyl8DGrLcf0Vd5zKSxXatTjcAOH2WmcbCxKn60y5GakQs2oBuSJtBhzhgnUBkoZpQjqV98aFXKE6wzypHeMtSNptvjGIYb3w85bNFrWdGllNJI5_8lrCYxvvr9CKV5wWpn6uQbScYyws1yV8rfdUWK7lX4OvVmO-6YDzo/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,943 64 27 89
Almiketxu,Es un caserío típico vasco y está regentado por la familia Hormaetxea-Alboni...,Bermeo,Bizkaia,43.40890469,-2.73422921,Restauración,Restaurante,Costa Vasca,almiketxu@gmail.com,https://almiketxu.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-almiketxu/webtur00-content/es/,restaurantes,True,4.6,1924.0,PRICE_LEVEL_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJZ5OGOlo-Tg0R5hbCh53vQ-c/photos/Ab43m-sJs3g0xsb49048XcoVWCG_V2jNSeA9h_Tfi50typYrBO0DBH9X7JP70wFDr9yxgVLbbb9woHjlI-Vv4B6ZC0L5pMGH8AnA-WfQWrQxHojUOt9FLBa1YZDlp4vHSRlM21FmT-zoP-lVfztErBn_huib2yqjLnjz3cSEGQJE_NyX5gMGM8AaHrIoWI9T7kZGRy9oEEHHRaVj9dRwRu8qHqD-jCeCyqdtMHWP5dP_4SSrM6j_5Qq2QYVxIYWBqMvjcOIaGrVusuOVmH2daS3J_UiODBE8fBIc-xX_RqL_oPQRHVGfi_muA-Xv74o__8hMm2Czh5yCfNV9yrZRZYdEjyjXlPrQO_0ntox7nWdmL71sQM9soYKz0BevW28KzeBlrKC2ZdNd8NLTJkctBO6xmBFh8aLeKwnCs4xgEKhH1X8ic589OLYqJcaWDQK4JCce/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,946 88 09 25
Ameztoi,Bodega con gran tradición situada en el municipio de Getaria. Producen el txakoli a partir...,Getaria,Gipuzkoa,43.29407126000001,-2.202422972883369,Restauración,Bodega Txakoli,Costa Vasca,ameztoi@txakoliameztoi.com,https://txakoliameztoi.com/,https://turismoa.euskadi.eus/es/restaurantes/bodega-de-txakoli-ameztoi/webtur00-content/es/,restaurantes,False,4.5,225.0,,https://places.googleapis.com/v1/places/ChIJe75Y35XIUQ0RYtvyZZEH0IA/photos/Ab43m-tz9LCRzQ-ZcGfxgisQKjIoZzCKdHBrvDRjxQmUjp3OZl1WK9KX-bZ3eAhmwnb5pXJTiJuzCSnfCrmjtJbv94X608fvR9vUMefynUkNTzffOIUHrKwKDA_zGO-dGkNW5JgaL5DTK70h_lO4OrrvYxgXFwiRnWpGrATbLKTCHKhqYXr4XShNtG-WTwzxzCPgDPswSJKhCiGkXmbcxGR_Espxl89_Nl3RvdhVPLNh29D85AGljxPq7ceTUHk1TC-96eCgick_GnHHLlU9BFOmYsX6WSTgVv5Pz_t-iQCXjisDlw/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,943 14 09 18
Andere,Este restaurante abrió sus puertas en 1976 y hoy en día es una referencia cl&aacute...,Vitoria-Gasteiz,Araba/Álava,42.849356605632124,-2.6795801790984797,Restauración,Restaurante,Vitoria-Gasteiz,info@restauranteandere.com,https://www.restauranteandere.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-andere/webtur00-content/es/,restaurantes,True,4.4,767.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJiXEZ5xTCTw0R7Iri1VZVjxs/photos/Ab43m-uRnJyZt8qj55WVdIla3evBBqi7UrO3mRAsuVr43xaRmwC_4ixHeTxOWE2fQAw9FMuYBr0F4lqIJLZ334nzJHdGLOFhoqtspK9tFx9EhIppVysiFzi6t1zF-VpwvOke6EBGbZfYT-ToHCrrG6QRiF9ENlnrvUmAhkx-P4sT22qi05Yg8pNK1kzN6MiDqArG4FT_hn2abR5aTcc1WMxSZEyivvccU4QcPRlmOqAcQHnm45BhCJqsfRY1-YQ-uhSfXjvrPi4h233AFpQaOdxeCek8zmFs-QIWO84DjJc1dg1-OYgNCH3hLVt2MxpyfDNORtgcPeGXlUJ1K-gklHeKyN605xTNSXrLVS5LBOizS-nVaey_dwfgjsyJCECoGhz94fnaLTkd7n69IF_8aqTDPITeAZ2jZ8XDuv2ykjNeL1c/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,945 21 49 30
Andra Mari,Está ubicado en un hermoso caserío del siglo XIII junto a la iglesia de Andra Mari ...,Galdakao,Bizkaia,43.23503044,-2.83249703,Restauración,Restaurante,Montes y Valles vascos,andramari@andra-mari.com,https://andra-mari.com/es/index.php,https://turismoa.euskadi.eus/es/restaurantes/restaurante-andra-mari/webtur00-content/es/,restaurantes,False,4.7,1001.0,PRICE_LEVEL_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJo3esY2tJTg0Rbwb9dv-FeYk/photos/Ab43m-t1M97hu7hkfjPyCzgV29SdPwzGPuq4EwmjNueINA4sWNuXMY_35V1Wzxyys0UiOUk9IcWBAHTfXwUp3gnBZfd24pDFGMg-FieLCG9FkHkOyrpfOa2pav16csNuVXENJo9AiReHawKNBcbvoFx_4qgj_SjzGCigB6R9pxUgLW9RCPjPl3I8tOP5iDjJQMVieUqap1Hr6NiSV5DTs_z3BmWisUBZUWvNwFTheHw8XpS5f-Lm9CJuDW5t6VYh5-U-grPIGGpIWf7VUQJG1S78Emw_be9mJAGdYIh9KLKOw8if-gNCuTiQx8s03rC8-TNCNsqUFG3jfU5Yrsi6KPRG3julkEPPi2p7NWeZlx-9_-fjWlVgKD63xSs1ZHOKWOsief3218RGg7-fEyqqNZBneWzACLSuYxkC_BusP9G62QIfrwZ7a2S2CAa4lqsEnA/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,944 56 00 05
"Arabako Txakolina, S.L.",Bodega adscrita a la Denominación de Origen Arabako Txakolina y que elabora el 95% de la p...,Amurrio,Araba/Álava,43.04132267833563,-2.9996452780335403,Restauración,Bodega Txakoli,Montes y Valles vascos,arabakotxakolina@euskalnet.net,https://www.xarmant.net/,https://turismoa.euskadi.eus/es/restaurantes/bodega-txakoli-arabako-txakolina-s-l/webtur00-content/es/,restaurantes,False,4.5,2.0,,,656 78 93 72
Aretxondo,Es un bello caserío vasco donde ofrecen una combinación de lo clásico y lo m...,Galdakao,Bizkaia,43.23358348966164,-2.8327792843780553,Restauración,Restaurante,Montes y Valles vascos,aretxondo@aretxondo.com,https://aretxondo.es/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-aretxondo/webtur00-content/es/,restaurantes,False,4.4,1059.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJo3esY2tJTg0R6PdMAiX50yY/photos/Ab43m-vE8cXNn0dkEVVYHgLW6TK0ZcR9dDy__0AfK8vPNkdI3cRKUwCvrApgtOAqhfBbG9utw3cxWSE3L2kF-YYSE4r-Kt93Qqr6qjnc2S8g5whpIhnunzLt5Jemrq17HhTqBK3HL_L0BToGmXjE8jhZ30C7OS04b8m_dKseNGPamuQ4--P5BXEv4eMPQBlamdn2Nj80XjrEdLrMzjvfYu23FT16O0y6gYKcScHv5N40aZxtosQ8TzbxnldnD7vKbob3f-lXV5xhq4t0QkXwH2Z3dZjsW62FPZXU6znhGcOqOo0aHJEKlmpAjoNfQnW8jvYLErRChS83roWb0AZwNZ6Yzxjh9Nldcbf4iubYx7u4jqaXJBixU7LQX0QDuEIULPlRoJp3TtJQ-Ft_8nuAsyPGzLjFuL-eOm7mZERDtP9-cNquaV06/media?maxWidthPx=800&key=AIzaSyATEGlNJNLtQ_luyii8AYQS29oxEByCZis,944 56 76 71
