id,user_id,gastro_id,puntuacion,texto,created_at
1,1441,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-05-23 18:30:00
2,1326,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-03-16 13:40:00
3,211,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-05-15 19:45:00
4,1833,0,3,"Buen ambiente, pero la comida nos dejó un poco indiferentes.",2026-05-09 18:42:00
5,1584,0,5,Una experiencia gastronómica increíble. Todo riquísimo y el ambiente inmejorable.,2026-05-18 20:44:00
6,1630,0,5,Una experiencia gastronómica increíble. Todo riquísimo y el ambiente inmejorable.,2026-04-26 18:12:00
7,1408,0,4,Gran sitio para ir en cuadrilla o familia. Los platos tradicionales muy bien ejecutados.,2026-04-27 12:02:00
8,1202,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-05-21 19:51:00
9,7,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-04-16 15:16:00
10,316,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-04-16 20:49:00
11,280,0,4,Gran sitio para ir en cuadrilla o familia. Los platos tradicionales muy bien ejecutados.,2026-04-26 20:42:00
12,1935,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-04-27 17:29:00
13,904,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-05-15 20:16:00
14,723,0,5,Una experiencia gastronómica increíble. Todo riquísimo y el ambiente inmejorable.,2026-04-06 19:04:00
15,1022,0,2,No tuvimos una buena experiencia. Mucha espera.,2026-04-09 17:06:00
16,1528,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-04-24 14:28:00
17,213,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-03-03 19:37:00
18,255,0,4,"Todo muy rico, buena atención y raciones generosas.",2026-03-27 21:50:00
19,845,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-03-08 21:02:00
20,406,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-05-09 22:22:00
21,1442,0,2,Decepcionante. El servicio fue bastante despistado y la comida llegó fría.,2026-04-01 22:37:00
22,892,0,3,"Buen ambiente, pero la comida nos dejó un poco indiferentes.",2026-04-25 14:34:00
23,1056,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-05-16 14:38:00
24,1210,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-04-17 13:26:00
25,1666,0,4,"Todo muy rico, buena atención y raciones generosas.",2026-03-06 21:19:00
26,337,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-04-14 14:33:00
27,1707,0,4,Muy buena comida y ambiente agradable. Volveremos.,2026-03-13 13:24:00
28,816,0,2,Decepcionante. El servicio fue bastante despistado y la comida llegó fría.,2026-04-02 22:22:00
29,530,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-05-01 19:20:00
30,1156,0,5,"Comida espectacular, servicio impecable. De los mejores sitios sin duda.",2026-04-10 17:58:00
31,982,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-04-16 21:39:00
32,75,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-05-05 20:13:00
33,371,0,5,Una experiencia gastronómica increíble. Todo riquísimo y el ambiente inmejorable.,2026-04-20 19:38:00
34,1972,0,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-05-22 13:35:00
35,1898,0,4,Gran sitio para ir en cuadrilla o familia. Los platos tradicionales muy bien ejecutados.,2026-03-02 22:58:00
36,1841,1,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-04-26 13:27:00
37,134,1,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-05-04 12:48:00
38,1820,1,5,Una experiencia gastronómica increíble. Todo riquísimo y el ambiente inmejorable.,2026-03-24 22:40:00
39,1918,1,4,Muy buena comida y ambiente agradable. Volveremos.,2026-04-17 16:37:00
40,265,1,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-04-10 14:16:00
41,634,1,5,Una experiencia gastronómica increíble. Todo riquísimo y el ambiente inmejorable.,2026-03-03 18:55:00
42,1059,1,4,Gran sitio para ir en cuadrilla o familia. Los platos tradicionales muy bien ejecutados.,2026-03-14 12:06:00
43,283,1,2,Decepcionante. El servicio fue bastante despistado y la comida llegó fría.,2026-04-01 13:06:00
44,532,1,4,"Todo muy rico, buena atención y raciones generosas.",2026-05-18 17:20:00
45,1218,1,4,Gran sitio para ir en cuadrilla o familia. Los platos tradicionales muy bien ejecutados.,2026-05-20 22:45:00
46,219,1,4,"Todo muy rico, buena atención y raciones generosas.",2026-04-02 17:38:00
47,538,1,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-04-20 18:43:00
48,761,1,5,Espectacular. El producto es de primerísima calidad y el trato exquisito.,2026-04-22 20:43:00
