documentname,documentdescription,locality,marks,municipality,friendlyurl,tourismemail,web,productclub,buytype,qualityassurance,lon,lat,provincia
Ezkur - Txerri,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/ezkur-txerri/webtur00-content/es/,,http://www.ezkurtxerri.com,1,Agricultura Ecológica,,-2.209715,43.280314,Gipuzkoa
Garoa,Queseria tradicional elaboradora de queso Idiazabal,Zerain,Montes y Valles vascos,Zerain,https://turismoa.euskadi.eus/es/queserias/garoa/webtur00-content/es/,,,1,Eusko Label,,-2.270865,43.010814,Gipuzkoa
Gazi Gozo,Tienda de productos Gourmet de la tierra y de fuera,Lazkao,Montes y Valles vascos,Lazkao,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/gazi-gozo/webtur00-content/es/,,http://www.gazigozo.com/,1,Postres,,-2.186601,43.033653,Gipuzkoa
Gaztaindizar,,Zarautz,Costa Vasca,Zarautz,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/gaztaindizar/webtur00-content/es/,,,1,Agricultura Ecológica,,-2.157662,43.26905,Gipuzkoa
Mahala Naturala,,Leaburu,Montes y Valles vascos,Leaburu,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/mahala-naturala/webtur00-content/es/,info@mahala.eus,http://mahala.eus/,1,Agricultura Ecológica,,-2.047884,43.122757,Gipuzkoa
Gaztiñatxulo,Queseria tradicional elaboradora de queso Idiazabal,Idiazabal,Montes y Valles vascos,Idiazabal,https://turismoa.euskadi.eus/es/queserias/gaztinatxulo/webtur00-content/es/,,,1,Eusko Label,,-2.233196,42.996416,Gipuzkoa
Germinados Kimuak,,,Montes y Valles vascos,Maruri-Jatabe,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/germinados-kimuak/webtur00-content/es/,info@kimuak.es,http://kimuak.es/,1,Agricultura Ecológica,,-2.860072,43.38517,Bizkaia
Getaka,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/getaka/webtur00-content/es/,,,1,Postres,,-0.220377,43.30423,Gipuzkoa
Gomiztegi Baserria,Caserío que elabora queso de Denominación de Origen Idiazabal. Se realizan visitas ...,Oñati,Montes y Valles vascos,Oñati,https://turismoa.euskadi.eus/es/queserias/gomiztegi-baserria/webtur00-content/es/,,http://www.gomiztegi.eus,1,Eusko Label,,-2.412187,42.990833,Gipuzkoa
MAISOR,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/conserveras/maisor/webtur00-content/es/,,http://www.maisor.com,1,Euskal Baserri,1,-2.201901,43.306341,Gipuzkoa
