Edad,hosteleria_restaurante,hosteleria_asador,hosteleria_sidreria,hosteleria_bodega,hosteleria_queseria,Gourmet_Agricultura_ecologica,Gourmet_Denominacion_de_Origen,Gourmet_Eusko_Label,Gourmet_Euskal_Baserri,Target_Review,hombre,mujer,otro,user_bizkaia,user_gipuzkoa,user_alava,local_restaurante,local_asador,local_sidreria,local_bodega,local_queseria,local_bizkaia,local_gipuzkoa,local_alava,sol,estrella,q,local_valoracion
70,1,1,1,1,1,1,1,1,1,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4.1
67,0,1,0,1,1,0,1,1,1,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4.4
57,0,1,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3.9
54,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4.6
57,1,1,0,0,1,1,1,1,1,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4.3
28,0,0,0,1,1,1,1,0,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,4.3
51,0,1,1,0,0,0,1,1,1,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4.4
45,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4.4
38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,4.0
48,1,1,1,0,1,0,1,1,1,5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4.9
43,1,1,1,1,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.6
49,1,0,0,1,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,5.0
52,1,1,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4.4
63,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,4.5
54,0,0,0,1,1,1,1,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,4.5
61,0,1,1,1,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,4.6
48,1,0,1,0,1,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4.3
61,0,0,0,0,1,1,0,0,1,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.7
63,0,1,1,1,0,1,1,0,1,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4.1
49,1,1,1,1,1,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4.4
62,1,1,0,1,1,0,1,1,1,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4.5
45,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,4.2
27,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,4.2
49,1,1,1,1,1,1,0,1,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.7
49,1,1,1,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,4.1
52,1,1,1,0,0,1,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4.4
62,1,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4.5
60,1,1,0,1,1,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4.5
46,1,1,0,0,1,1,0,1,0,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.6
58,1,1,1,1,0,1,1,1,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4.5
57,1,1,0,1,1,1,1,1,1,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.4
46,1,0,1,1,0,0,1,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.4
75,0,1,0,1,0,0,1,1,1,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4.1
57,0,0,0,1,0,0,1,1,1,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4.4
49,0,1,1,1,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,4.9
53,1,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4.7
57,0,1,0,0,1,1,0,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4.3
49,1,1,1,1,1,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4.5
46,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,4.5
64,0,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4.1
62,1,0,0,1,0,0,0,1,0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4.6
53,1,0,0,1,1,1,1,1,1,4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3.9
64,1,0,1,0,1,0,1,1,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4.2
53,1,1,0,1,0,1,0,1,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.6
55,1,1,1,1,1,1,1,1,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4.6
60,1,1,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4.5
65,0,1,0,1,1,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.7
47,1,0,1,0,1,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4.5
54,1,0,1,0,1,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.7
52,1,1,1,0,1,1,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.2
53,1,1,1,0,1,1,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4.3
56,1,1,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.6
45,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4.1
47,1,0,0,1,1,1,1,0,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4.6
58,1,1,1,1,1,1,1,1,1,5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4.5
62,1,1,1,1,0,0,0,1,1,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,4.9
46,0,0,0,0,1,0,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,4.4
52,1,1,0,0,1,0,0,1,1,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4.0
36,0,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.0
47,1,1,1,1,0,0,1,0,1,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.5
49,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.6
48,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4.5
58,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4.5
65,0,1,0,1,1,1,1,0,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4.7
53,1,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4.0
64,1,0,1,1,0,1,1,1,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,4.7
52,1,0,1,1,0,1,1,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5.0
55,1,1,0,1,1,0,1,1,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4.2
50,1,1,1,0,0,1,1,1,1,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4.7
44,0,1,1,1,1,0,1,1,1,5,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,4.4
58,1,1,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.5
